04122-000-000,3800  HWY 98    MEXICO BEACH 32410,"['20MB-RR0066', '20MB-CB0009', '19MB-DEM0116', '16-3226', '9802023', '9402859']"
04123-006-000,4200  HWY 98   4 MEXICO BEACH 32410,['19MB-RB0611']
04123-009-000,4202  HWY 98   2 MEXICO BEACH 32410,"['19MB-RR0198', '73080690']"
04123-009-010,4202  HWY 98   1 MEXICO BEACH 32410,['18MB-RR0196']
04123-009-030,4202  HWY 98   3 MEXICO BEACH 32410,"['19MB-RB0006', '18MB-RR0197']"
04124-000-000,4000  HWY 98    MEXICO BEACH 32410,"['19MB-CB0034', '18-0006', '18-3846', '17-3408', '15-2738', '93-6563']"
04185-774-000,101  PARKER PKWY   MEXICO BEACH 32410,['19MB-CR0026']
04185-800-000,1120  15TH ST   MEXICO BEACH 32410,"['19MB-CB0025', '19MB-CB0026', '19MB-CB0022', '19MB-CR0023', '19MB-CR0004']"
04185-800-002,1120  15TH ST  1-B MEXICO BEACH 32410,['19MB-CR0024']
04185-800-011,1120  15TH ST  2-A MEXICO BEACH 32410,"['19MB-CB0024', '19MB-CR0025']"
04185-800-020,1120  15TH ST  2-J MEXICO BEACH 32410,['19MB-RB0246']
04188-000-000,414  5TH ST   MEXICO BEACH 32410,"['16-3266', '13-2359', '9704568']"
04188-020-000,412  5TH ST   MEXICO BEACH 32410,"['19MB-RB0471', '17-3709', '17-3466', '9705854', '9705588']"
04188-030-000,410  5TH ST   MEXICO BEACH 32410,"['19MB-RR0328', 'B1840', 'B763', 'B644']"
04188-040-000,503  CATHEY LN   MEXICO BEACH 32410,"['926550', '9501759', '9505314']"
04188-050-000,505  CATHEY LN   MEXICO BEACH 32410,['0847-05']
04188-080-000,511  CATHEY LN   MEXICO BEACH 32410,"['B06-1513', '11030', 'B2373', '9403768']"
04188-090-000,508  CATHEY LN   MEXICO BEACH 32410,"['19MB-RR0144', '17-3358', '16-3332', '16-3326', '9403112']"
04224-010-000,202  HWY 98    MEXICO BEACH 32410,"['19MB-RB0333', 'RF650', 'B2485']"
04225-000-000,204  HWY 98    MEXICO BEACH 32410,"['20MB-RR0043', '1319', '9404757', '926994']"
04226-000-000,206  HWY 98    MEXICO BEACH 32410,"['20MB-RB0151', '20MB-RR0029', '9501306']"
04228-000-000,210  HWY 98    MEXICO BEACH 32410,"['19MB-RB0102', '10129935', 'B1375']"
04229-000-000,212  HWY 98    MEXICO BEACH 32410,"['20MB-RB0194', '19MB-RR0368', '19MB-RB0302', '12111193', '751027', '9309955']"
04230-005-000,217  HWY 98    MEXICO BEACH 32410,"['19MB-RR0392', '19MB-RB0357', '12090767', '0217', '6443', '929879']"
04232-000-000,218  HWY 98    MEXICO BEACH 32410,"['19MB-RR0303', '21890788', '0434', '918773']"
04233-000-000,112  3RD ST   MEXICO BEACH 32410,"['19MB-RB0565', '18MB-RB0073', 'RF-1007', '92635']"
04234-000-000,114  3RD ST   MEXICO BEACH 32410,"['20MB-RB0146', '19-0280', '2209956', '0505605', 'B1781']"
04235-000-000,116  3RD ST   MEXICO BEACH 32410,"['18-3865', 'B1497', 'B1857']"
04237-000-000,209  FORTNER AVE   MEXICO BEACH 32410,"['20MB-RB0211', '19MB-SID0034', '19MB-RR0132', '15-2759', '13-2292']"
04241-000-000,120  3RD ST   MEXICO BEACH 32410,"['19MB-RR0390', '19MB-RB0214', '760170', '9812818', '925509']"
04241-010-000,222  FLORIDA AVE   MEXICO BEACH 32410,"['19MB-RR0053', '11239952']"
04241-020-000,122  3RD ST   MEXICO BEACH 32410,"['19MB-RR0324', '19MB-RB0134', 'RF442', 'B629']"
04242-000-000,210  FORTNER AVE   MEXICO BEACH 32410,"['19MB-RR0234', '19MB-RB0171', '13-2274']"
04242-005-000,207  FLORIDA AVE   MEXICO BEACH 32410,"['19MB-RB0176', '19MB-RR0176', '19MB-RR0178', '19MB-RR0179', '14112000']"
